Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
- -,FCO,YYZ,Air Canada (AC),Air Canada,4400,09:18,,,,,333,,,"Direct",1555,193,330
- -,FDF,YUL,Air Canada (AC),Air Canada,2257,05:00,,,,,319,,,"Direct",2878,146,330
- -,FIH,BRU,Air Canada (AC),Air Canada,3872,08:14,,,,,333,,,"Codeshare",1020,302,330
- -,FIH,DLA,Air Canada (AC),Air Canada,701,01:54,,,,,333,,,"Codeshare",1020,897,330
- -,FLL,YUL,Air Canada (AC),Air Canada,1385,03:16,,,,,320,,,"Direct",3533,146,330
- -,FLL,YYZ,Air Canada (AC),Air Canada,1216,02:55,,,,,320,,,"Direct",3533,193,330
- -,FRA,DOH,Air Canada (AC),Air Canada,2848,06:11,,,,,333,,,"Codeshare",340,11051,330
- -,FRA,JED,Air Canada (AC),Air Canada,2565,05:37,,,,,333,,,"Codeshare",340,2072,330
- -,FRA,LCA,Air Canada (AC),Air Canada,1636,03:46,,,,,319 321,,,"Codeshare",340,1197,330
- -,FRA,NAP,Air Canada (AC),Air Canada,689,01:52,,,,,321,,,"Codeshare",340,1561,330
- -,FRA,VLC,Air Canada (AC),Air Canada,851,02:12,,,,,319,,,"Codeshare",340,1246,330
- -,FRA,VNO,Air Canada (AC),Air Canada,771,02:02,,,,,321,,,"Codeshare",340,3959,330
- -,FRA,YOW,Air Canada (AC),Air Canada,3716,07:55,,,,,333,,,"Direct",340,100,330
- -,FRA,YUL,Air Canada (AC),Air Canada,3635,07:46,,,,,333,,,"Direct",340,146,330
- -,FRA,YVR,Air Canada (AC),Air Canada,5006,10:30,,,,,744,,,"Codeshare",340,156,330
- -,FRA,YYC,Air Canada (AC),Air Canada,4675,09:51,,,,,77W,,,"Direct",340,178,330
- -,FRA,YYZ,Air Canada (AC),Air Canada,3939,08:22,,,,,77W,,,"Direct",340,193,330
- -,GCM,YYZ,Air Canada (AC),Air Canada,1686,03:52,,,,,E90,,,"Direct",1926,193,330
- -,GDN,CPH,Air Canada (AC),Air Canada,245,00:59,,,,,M80,,,"Codeshare",668,609,330
- -,GGT,YYZ,Air Canada (AC),Air Canada,1405,03:18,,,,,E90,,,"Direct",1941,193,330
- -,GND,YYZ,Air Canada (AC),Air Canada,2431,05:21,,,,,319,,,"Direct",2882,193,330
- -,GRU,YYZ,Air Canada (AC),Air Canada,5088,10:40,,,,,763,,,"Direct",2564,193,330
- -,GVA,YUL,Air Canada (AC),Air Canada,3667,07:50,,,,,333,,,"Direct",1665,146,330
- -,HAV,YYZ,Air Canada (AC),Air Canada,1437,03:22,,,,,E90,,,"Direct",1909,193,330
- -,HKG,YVR,Air Canada (AC),Air Canada,6377,13:15,,,,,77W,,,"Direct",3077,156,330
- -,HKG,YYZ,Air Canada (AC),Air Canada,7792,16:05,,,,,77L,,,"Direct",3077,193,330
- -,HND,YVR,Air Canada (AC),Air Canada,4694,09:53,,,,,763,,,"Direct",2359,156,330
- -,HNL,YVR,Air Canada (AC),Air Canada,2703,05:54,,,,,763,,,"Direct",3728,156,330
- -,HOG,YUL,Air Canada (AC),Air Canada,1710,03:55,,,,,319,,,"Direct",1910,146,330
- -,HOG,YYZ,Air Canada (AC),Air Canada,1592,03:41,,,,,319,,,"Direct",1910,193,330
- -,IAD,MSY,Air Canada (AC),Air Canada,953,02:24,,,,,ERJ CR7 738 E70 739,,,"Codeshare",3714,3861,330
- -,IAD,YOW,Air Canada (AC),Air Canada,449,01:23,,,,,ERJ,,,"Codeshare",3714,100,330
- -,IAD,YUL,Air Canada (AC),Air Canada,488,01:28,,,,,ERJ CRJ,,,"Codeshare",3714,146,330
- -,IAD,YYZ,Air Canada (AC),Air Canada,345,01:11,,,,,ERJ CRJ CR7,,,"Codeshare",3714,193,330
- -,IAH,MSY,Air Canada (AC),Air Canada,304,01:06,,,,,CR7 320 73G 738 E70 ERJ 319,,,"Codeshare",3550,3861,330
- -,IAH,YEG,Air Canada (AC),Air Canada,1853,04:12,,,,,738 320 737 319,,,"Codeshare",3550,49,330
- -,IAH,YUL,Air Canada (AC),Air Canada,1582,03:39,,,,,E70,,,"Codeshare",3550,146,330
- -,IAH,YYC,Air Canada (AC),Air Canada,1746,03:59,,,,,CRA 738 320 739,,,"Codeshare",3550,178,330
- -,IAH,YYZ,Air Canada (AC),Air Canada,1279,03:03,,,,,CRA,,,"Codeshare",3550,193,330
- -,ICN,BKK,Air Canada (AC),Air Canada,2278,05:03,,,,,333 777,,,"Codeshare",3930,3885,330
- -,ICN,YVR,Air Canada (AC),Air Canada,5092,10:41,,,,,763,,,"Direct",3930,156,330
- -,IND,YYZ,Air Canada (AC),Air Canada,438,01:22,,,,,CRJ,,,"Codeshare",3585,193,330
- -,IST,YYZ,Air Canada (AC),Air Canada,5091,10:40,,,,,763 77W,,,"Direct",1701,193,330
- -,JED,ADD,Air Canada (AC),Air Canada,877,02:15,,,,,333,,,"Codeshare",2072,1107,330
- -,JED,FRA,Air Canada (AC),Air Canada,2565,05:37,,,,,333,,,"Codeshare",2072,340,330
- -,JED,IST,Air Canada (AC),Air Canada,1462,03:25,,,,,321,,,"Direct",2072,1701,330
- -,JFK,YYZ,Air Canada (AC),Air Canada,365,01:13,,,,,CRA,,,"Codeshare",3797,193,330
- -,KGL,EBB,Air Canada (AC),Air Canada,211,00:55,,,,,332,,,"Codeshare",1165,1187,330
- -,KGL,NBO,Air Canada (AC),Air Canada,470,01:26,,,,,332,,,"Codeshare",1165,4059,330
- -,KIN,YYZ,Air Canada (AC),Air Canada,1785,04:04,,,,,319,,,"Direct",1779,193,330
- -,LAD,FIH,Air Canada (AC),Air Canada,344,01:11,,,,,333,,,"Codeshare",951,1020,330
- -,LAS,YUL,Air Canada (AC),Air Canada,2233,04:57,,,,,763,,,"Direct",3877,146,330
- -,LAS,YVR,Air Canada (AC),Air Canada,991,02:28,,,,,319,,,"Direct",3877,156,330
- -,LAS,YYC,Air Canada (AC),Air Canada,1039,02:34,,,,,319,,,"Direct",3877,178,330
- -,LAS,YYZ,Air Canada (AC),Air Canada,1937,04:22,,,,,763 319,,,"Direct",3877,193,330
- -,LAX,YLW,Air Canada (AC),Air Canada,1106,02:42,,,,,CR7,,,"Codeshare",3484,87,330
- -,LAX,YUL,Air Canada (AC),Air Canada,2467,05:26,,,,,319,,,"Direct",3484,146,330
- -,LAX,YVR,Air Canada (AC),Air Canada,1081,02:39,,,,,319,,,"Direct",3484,156,330
